iter	Passed	Remaining
593	1282	876
594	1283	873
595	1285	871
596	1287	869
597	1289	867
598	1291	864
599	1293	862
600	1295	860
601	1297	858
602	1299	855
603	1301	853
604	1303	851
605	1305	848
606	1307	846
607	1309	844
608	1310	841
609	1312	839
610	1314	837
611	1316	834
612	1318	832
613	1320	830
614	1322	827
615	1324	825
616	1326	823
617	1328	820
618	1329	818
619	1332	816
620	1334	814
621	1336	812
622	1339	810
623	1341	808
624	1343	806
625	1345	804
626	1348	801
627	1350	799
628	1352	797
629	1354	795
630	1356	793
631	1358	791
632	1361	789
633	1363	787
634	1365	784
635	1367	782
636	1369	780
637	1371	778
638	1373	775
639	1375	773
640	1377	771
641	1379	769
642	1381	767
643	1384	765
644	1386	762
645	1388	761
646	1391	758
647	1393	756
648	1395	754
649	1397	752
650	1400	750
651	1402	748
652	1404	746
653	1407	744
654	1409	742
655	1411	740
656	1413	738
657	1415	735
658	1418	733
659	1420	731
660	1422	729
661	1424	727
662	1426	725
663	1428	723
664	1431	720
665	1433	718
666	1436	716
667	1438	714
668	1440	712
669	1442	710
670	1445	708
671	1447	706
672	1449	704
673	1451	702
674	1454	700
675	1456	698
676	1458	696
677	1460	693
678	1463	691
679	1465	689
680	1468	687
681	1470	685
682	1472	683
683	1474	681
684	1476	678
685	1478	676
686	1481	675
687	1484	673
688	1486	670
689	1489	669
690	1491	666
691	1493	664
692	1496	662
693	1498	660
694	1500	658
695	1502	656
696	1504	654
697	1507	652
698	1509	649
699	1511	647
700	1513	645
701	1516	643
702	1518	641
703	1520	639
704	1523	637
705	1525	635
706	1527	633
707	1529	630
708	1531	628
709	1534	626
710	1536	624
711	1538	622
712	1541	620
713	1543	618
714	1545	615
715	1547	613
716	1550	611
717	1552	609
718	1554	607
719	1556	605
720	1558	603
721	1561	601
722	1563	599
723	1565	596
724	1568	594
725	1570	592
726	1572	590
727	1574	588
728	1576	586
729	1578	583
730	1580	581
731	1582	579
732	1584	577
733	1586	575
734	1588	572
735	1590	570
736	1592	568
737	1594	566
738	1596	563
739	1598	561
740	1600	559
741	1602	557
742	1604	554
743	1606	552
744	1608	550
745	1610	548
746	1611	545
747	1613	543
748	1615	541
749	1618	539
750	1619	537
751	1621	534
752	1623	532
753	1625	530
754	1627	528
755	1629	525
756	1631	523
757	1632	521
758	1634	519
759	1636	516
760	1638	514
761	1640	512
762	1642	510
763	1644	507
764	1646	505
765	1648	503
766	1649	501
767	1651	499
768	1653	496
769	1655	494
770	1657	492
771	1659	490
772	1661	487
773	1663	485
774	1665	483
775	1666	481
776	1668	478
777	1670	476
778	1672	474
779	1674	472
780	1676	470
781	1678	467
782	1680	465
783	1682	463
784	1684	461
785	1685	459
786	1687	456
787	1689	454
788	1691	452
789	1693	450
790	1695	447
791	1697	445
792	1698	443
793	1700	441
794	1702	439
795	1704	436
796	1706	434
797	1708	432
798	1709	430
799	1711	427
800	1713	425
801	1715	423
802	1717	421
803	1719	419
804	1721	416
805	1723	414
806	1725	412
807	1727	410
808	1729	408
809	1731	406
810	1732	403
811	1734	401
812	1736	399
813	1738	397
814	1740	395
815	1742	392
816	1743	390
817	1745	388
818	1747	386
819	1749	384
820	1751	381
821	1753	379
822	1755	377
823	1757	375
824	1759	373
825	1761	371
826	1763	368
827	1765	366
828	1767	364
829	1769	362
830	1770	360
831	1772	357
832	1774	355
833	1776	353
834	1778	351
835	1780	349
836	1782	347
837	1784	344
838	1785	342
839	1787	340
840	1789	338
841	1791	336
842	1793	334
843	1795	331
844	1797	329
845	1799	327
846	1801	325
847	1803	323
848	1805	321
849	1807	318
850	1808	316
851	1810	314
852	1812	312
853	1814	310
854	1817	308
855	1819	306
856	1821	303
857	1823	301
858	1826	299
859	1828	297
860	1831	295
861	1833	293
862	1835	291
863	1837	289
864	1840	287
865	1842	285
866	1844	282
867	1846	280
868	1849	278
869	1851	276
870	1853	274
871	1855	272
872	1857	270
873	1860	268
874	1862	266
875	1864	263
876	1866	261
877	1868	259
878	1873	257
879	1877	256
880	1879	253
881	1882	251
882	1884	249
883	1886	247
884	1888	245
885	1890	243
886	1893	241
887	1895	239
888	1897	236
889	1899	234
890	1902	232
891	1904	230
892	1906	228
893	1908	226
894	1913	224
895	1918	222
896	1922	220
897	1924	218
898	1926	216
899	1929	214
900	1931	212
901	1933	210
902	1936	207
903	1938	205
904	1941	203
905	1943	201
906	1945	199
907	1948	197
908	1950	195
909	1953	193
910	1955	191
911	1957	188
912	1963	187
913	1965	184
914	1967	182
915	1969	180
916	1972	178
917	1974	176
918	1976	174
919	1978	172
920	1981	169
921	1983	167
922	1985	165
923	1988	163
924	1990	161
925	1992	159
926	1994	157
927	1997	154
928	1999	152
929	2001	150
930	2003	148
931	2006	146
932	2008	144
933	2010	142
934	2012	139
935	2014	137
936	2017	135
937	2019	133
938	2021	131
939	2023	129
940	2026	127
941	2028	124
942	2030	122
943	2032	120
944	2035	118
945	2037	116
946	2039	114
947	2041	111
948	2044	109
949	2046	107
950	2048	105
951	2050	103
952	2052	101
953	2054	99
954	2056	96
955	2059	94
956	2061	92
957	2063	90
958	2065	88
959	2067	86
960	2069	83
961	2071	81
962	2073	79
963	2076	77
964	2078	75
965	2080	73
966	2082	71
967	2084	68
968	2086	66
969	2088	64
970	2090	62
971	2092	60
972	2094	58
973	2096	55
974	2097	53
975	2099	51
976	2101	49
977	2103	47
978	2105	45
979	2107	43
980	2109	40
981	2111	38
982	2113	36
983	2115	34
984	2117	32
985	2119	30
986	2121	27
987	2123	25
988	2126	23
989	2127	21
990	2130	19
991	2132	17
992	2134	15
993	2135	12
994	2137	10
995	2139	8
996	2141	6
997	2143	4
998	2145	2
999	2147	0
