iter	RMSE
0	0.9044442695
1	0.8406829976
2	0.7818804563
3	0.7278470491
4	0.6774279255
5	0.632550538
6	0.5891061418
7	0.5480952371
8	0.5100465312
9	0.4747367565
10	0.4427395434
11	0.4123594678
12	0.3840195173
13	0.3577358878
14	0.3333571066
15	0.3109265429
16	0.289400692
17	0.2695699035
18	0.2515944813
19	0.2344682915
20	0.2186547888
21	0.2046221728
22	0.1912318335
23	0.1784716609
24	0.1666815964
25	0.1554622232
26	0.1453665012
27	0.1360424186
28	0.1274300448
29	0.1192025516
30	0.1116695549
31	0.1046980327
32	0.09843475738
33	0.09236111849
34	0.08665760778
35	0.0813832897
36	0.07669468587
37	0.07237903404
38	0.06842602089
39	0.06455762884
40	0.06092850612
41	0.05772201494
42	0.05460523895
43	0.05180683903
44	0.04928899874
45	0.04676504212
46	0.04449799252
47	0.04253870416
48	0.04071627078
49	0.03905499746
50	0.03733899044
51	0.03595766049
52	0.03450528988
53	0.03323334181
54	0.03212292037
55	0.03094280304
56	0.0299573019
57	0.02916688433
58	0.02823893221
59	0.02747747477
60	0.02664170039
61	0.02586525948
62	0.02528156161
63	0.02461734549
64	0.024085251
65	0.02351103171
66	0.02306406804
67	0.02264700783
68	0.02222704522
69	0.02178120037
70	0.02139571814
71	0.02099926862
72	0.02062030008
73	0.02028474371
74	0.02005015778
75	0.01978482865
76	0.01947154778
77	0.01922390941
78	0.01898796921
79	0.01875067047
80	0.01859912984
81	0.01836490073
82	0.01817189058
83	0.018030326
84	0.01784016726
85	0.01772955524
86	0.01757245724
87	0.01740784073
88	0.0172407941
89	0.0171087577
90	0.01701200579
91	0.01686873658
92	0.01677839743
93	0.0166469537
94	0.01651887443
95	0.01643993507
96	0.01636033293
97	0.01626796348
98	0.01618688001
99	0.01610575789
100	0.01605460368
101	0.01595904615
102	0.01587932967
103	0.01579485559
104	0.01570712051
105	0.01562642596
106	0.01556557321
107	0.01549747093
108	0.01541387291
109	0.01537237305
110	0.01529928357
111	0.01525848945
112	0.01519498761
113	0.01514724793
114	0.01502560268
115	0.01498364924
116	0.01491887893
117	0.01486405794
118	0.01480262133
119	0.01476490912
120	0.0147391
121	0.0146579146
122	0.01455694979
123	0.01453370047
124	0.0144920776
125	0.01442160837
126	0.0143668506
127	0.0143135484
128	0.01428220299
129	0.01423109415
130	0.01417273762
131	0.01413559388
132	0.01408744939
133	0.01406005368
134	0.01402514328
135	0.01399797325
136	0.01392450579
137	0.01387341418
138	0.01382844166
139	0.01379613237
140	0.01373559496
141	0.0137058912
142	0.01368769744
143	0.01365473534
144	0.01361563222
145	0.01356572978
146	0.01353181009
147	0.01344909226
148	0.01343694453
149	0.01342415667
150	0.01336414328
151	0.01332485028
152	0.01329304066
153	0.01324841023
154	0.01319957906
155	0.01315749702
156	0.0130933885
157	0.01307942202
158	0.0130668865
159	0.01305547745
160	0.01300289042
161	0.01297029479
162	0.01291578402
163	0.01284933387
164	0.01282034053
165	0.01276177268
166	0.01271656785
167	0.01268976121
168	0.01266934424
169	0.01260853801
170	0.01259635835
171	0.01255534228
172	0.0125342046
173	0.01249212104
174	0.01246480959
175	0.01243604895
176	0.01239699329
177	0.01238365644
178	0.01233484448
179	0.01231092338
180	0.01226618986
181	0.01222665848
182	0.01219251936
183	0.01217426239
184	0.01216397088
185	0.01214711297
186	0.01211577503
187	0.01208882525
188	0.01205125749
189	0.01199845172
190	0.01197834333
191	0.01193665722
192	0.01190194749
193	0.01189076693
194	0.01185052925
195	0.01183392678
196	0.01181764755
197	0.01177274456
198	0.01174630371
199	0.01171492708
200	0.01170433596
201	0.01166788474
202	0.01163956335
203	0.01161914111
204	0.01160999434
205	0.01158252239
206	0.01154678891
207	0.01151676461
208	0.01148922925
209	0.01147424582
210	0.01142830007
211	0.01142225195
212	0.01140715132
213	0.01139333917
214	0.01137524791
215	0.01134626776
216	0.01132514792
217	0.01130612993
218	0.01128154614
219	0.01125566094
220	0.01122916558
221	0.0112073641
222	0.01116223585
223	0.01114509675
224	0.01113937696
225	0.01111441899
226	0.01108752357
